Channel Id,Channel Url,Channel Title
UCGTKwjs1ctvgwCRa67RNO-Q,http://www.youtube.com/channel/UCGTKwjs1ctvgwCRa67RNO-Q,HeavyDSparks
UCGeGhS_akOxBWQcSmje6B-w,http://www.youtube.com/channel/UCGeGhS_akOxBWQcSmje6B-w,Tanya Khanijow
UCGl7qkMPao3EBkxIDlPal4g,http://www.youtube.com/channel/UCGl7qkMPao3EBkxIDlPal4g,Puzzle guy
UCGyr1eb-ocoM42z-vmdYgTQ,http://www.youtube.com/channel/UCGyr1eb-ocoM42z-vmdYgTQ,Matchfit Soccer
UCH12e_SjWacDQRJh6UZET_g,http://www.youtube.com/channel/UCH12e_SjWacDQRJh6UZET_g,Picture Factory
UCHOKvQW2N4kLVhKYn2bvF7A,http://www.youtube.com/channel/UCHOKvQW2N4kLVhKYn2bvF7A,Prakhar Gupta (Prakhar ke Pravachan)
UCHP_xGE4P6bVtu2nD82TKJw,http://www.youtube.com/channel/UCHP_xGE4P6bVtu2nD82TKJw,Carter Chat
UCHnyfMqiRRG1u-2MsSQLbXA,http://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium
UCIBwX0d4qyhoSJ2dl8NVczA,http://www.youtube.com/channel/UCIBwX0d4qyhoSJ2dl8NVczA,Smartness
UCIWlOZFsnlvWRbjv-8PX3zg,http://www.youtube.com/channel/UCIWlOZFsnlvWRbjv-8PX3zg,Shrey Bakhai
UCImCFKA6TY3q683EfpaRszg,http://www.youtube.com/channel/UCImCFKA6TY3q683EfpaRszg,Namo Kaul
UCJ0-OtVpF0wOKEqT2Z1HEtA,http://www.youtube.com/channel/UCJ0-OtVpF0wOKEqT2Z1HEtA,ElectroBOOM
UCJ24N4O0bP7LGLBDvye7oCA,http://www.youtube.com/channel/UCJ24N4O0bP7LGLBDvye7oCA,Matt D'Avella
UCJxHxs-4-O7qmlWgBn8pvsQ,http://www.youtube.com/channel/UCJxHxs-4-O7qmlWgBn8pvsQ,Sri Sathya Sai Official
UCKJD3qafeqtaLIeReowrTnw,http://www.youtube.com/channel/UCKJD3qafeqtaLIeReowrTnw,DJ MRA
UCKZozRVHRYsYHGEyNKuhhdA,http://www.youtube.com/channel/UCKZozRVHRYsYHGEyNKuhhdA,Think School
UCKjuxegGqPQZw5Vz8edwCFw,http://www.youtube.com/channel/UCKjuxegGqPQZw5Vz8edwCFw,Lokdhun
UCKpOLLuCpXLt8rv1Bd3awrg,http://www.youtube.com/channel/UCKpOLLuCpXLt8rv1Bd3awrg,gaurav talwar
UCKq3tXnvXnA0feJYmOx9MPw,http://www.youtube.com/channel/UCKq3tXnvXnA0feJYmOx9MPw,The Wildlife Homestead
UCKtpwNJatpLeJTGCJbw4aXg,http://www.youtube.com/channel/UCKtpwNJatpLeJTGCJbw4aXg,MtnFortressLabs
UCL2n1iNbGv2DioRdL6R8JPw,http://www.youtube.com/channel/UCL2n1iNbGv2DioRdL6R8JPw,Kalpit Veerwal
UCL6JmiMXKoXS6bpP1D3bk8g,http://www.youtube.com/channel/UCL6JmiMXKoXS6bpP1D3bk8g,Donut
UCLXV9vzJwgYOyGaZlD89VfA,http://www.youtube.com/channel/UCLXV9vzJwgYOyGaZlD89VfA,DEBOSS GARAGE
UCM2ra7Od2jliHB9TLPKt76w,http://www.youtube.com/channel/UCM2ra7Od2jliHB9TLPKt76w,MovementbyDavid
UCMKjS5iSzK9UVaJfOnLQtyQ,http://www.youtube.com/channel/UCMKjS5iSzK9UVaJfOnLQtyQ,Shobhit Nirwan & Alakh Sir Motivation
UCMOqf8ab-42UUQIdVoKwjlQ,http://www.youtube.com/channel/UCMOqf8ab-42UUQIdVoKwjlQ,Practical Engineering
UCMhRbMzPqr_vca_bISQyvsA,http://www.youtube.com/channel/UCMhRbMzPqr_vca_bISQyvsA,Chetan Bhagat
UCMiJRAwDNSNzuYeN2uWa0pA,http://www.youtube.com/channel/UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss
UCMrvLMUITAImCHMOhX88PYQ,http://www.youtube.com/channel/UCMrvLMUITAImCHMOhX88PYQ,PiXimperfect
UCMwXzQYeZJ7ml7kQObcvXjA,http://www.youtube.com/channel/UCMwXzQYeZJ7ml7kQObcvXjA,Prateek Kuhad
UCN5iWi2CQVOiZogkHesGI5w,http://www.youtube.com/channel/UCN5iWi2CQVOiZogkHesGI5w,The Alpha Singh
UCN9qzrsT8gYS2I3tbYVKfcA,http://www.youtube.com/channel/UCN9qzrsT8gYS2I3tbYVKfcA,Tharun Speaks
UCNLRcEn78Vc62C3GkMvBgtA,http://www.youtube.com/channel/UCNLRcEn78Vc62C3GkMvBgtA,saveitforparts
UCONLvFxWJAiCqM-GtY586bA,http://www.youtube.com/channel/UCONLvFxWJAiCqM-GtY586bA,Mohana Geetham Arts
UCP4k407eomZThGHo_9sgMkg,http://www.youtube.com/channel/UCP4k407eomZThGHo_9sgMkg,Dr Pal
UCP7WmQ_U4GB3K51Od9QvM0w,http://www.youtube.com/channel/UCP7WmQ_U4GB3K51Od9QvM0w,David Bombal
UCPF4bAZimS4T8w1TlbeIAYg,http://www.youtube.com/channel/UCPF4bAZimS4T8w1TlbeIAYg,Faisal Khan
UCPfjB94mhe8Gsnd9qIzUKHA,http://www.youtube.com/channel/UCPfjB94mhe8Gsnd9qIzUKHA,Jameskii
UCPmXPm5wT_01R86jWTV_09A,http://www.youtube.com/channel/UCPmXPm5wT_01R86jWTV_09A,Hunter Goodrich
UCPvRdfUooqCf0zPOYvbBzVA,http://www.youtube.com/channel/UCPvRdfUooqCf0zPOYvbBzVA,mryeester
UCPxMZIFE856tbTfdkdjzTSQ,http://www.youtube.com/channel/UCPxMZIFE856tbTfdkdjzTSQ,BeerBiceps
UCR9pMIBZG-hXi2NlADAzuSQ,http://www.youtube.com/channel/UCR9pMIBZG-hXi2NlADAzuSQ,Tesher
UCRIJau4vEcTTay9cHw22-6A,http://www.youtube.com/channel/UCRIJau4vEcTTay9cHw22-6A,Iman Gadzhi Mindset
UCSCrbvD1GybJW3m3Fj_GkjA,http://www.youtube.com/channel/UCSCrbvD1GybJW3m3Fj_GkjA,Aman Dhattarwal Talks
UCST7O07V0HwBkK_wCB6EB5g,http://www.youtube.com/channel/UCST7O07V0HwBkK_wCB6EB5g,H C VERMA
UCTUWYAesloXa68_QgmDhV-A,http://www.youtube.com/channel/UCTUWYAesloXa68_QgmDhV-A,Trigunaditya Panda
UCTjFxEdR5h_YSC1R0HWHPaw,http://www.youtube.com/channel/UCTjFxEdR5h_YSC1R0HWHPaw,Hustle With Yash
UCTkhZGtANjMzXpgDUE7HLUA,http://www.youtube.com/channel/UCTkhZGtANjMzXpgDUE7HLUA,Ryan Kennedy
UCU5eV0c0SE0TMXrV8P94jAQ,http://www.youtube.com/channel/UCU5eV0c0SE0TMXrV8P94jAQ,Learn with Jaspal
UCUDhXgIN3H7vZh8NmIk8EEw,http://www.youtube.com/channel/UCUDhXgIN3H7vZh8NmIk8EEw,SAURABH THAKUR
UCUK0HBIBWgM2c4vsPhkYY4w,http://www.youtube.com/channel/UCUK0HBIBWgM2c4vsPhkYY4w,The Slow Mo Guys
UCUK8HXeI3WqXczgMkT5XUWQ,http://www.youtube.com/channel/UCUK8HXeI3WqXczgMkT5XUWQ,Nishant Tanwar
UCUKTrXf8KdGIVXudO3dqOWw,http://www.youtube.com/channel/UCUKTrXf8KdGIVXudO3dqOWw,BEwithSADHGURU
UCUYSmb7usa2NniddWw4p9sg,http://www.youtube.com/channel/UCUYSmb7usa2NniddWw4p9sg,Aashish Chandratreya
